iter	Passed	Remaining
805	71662	17248
806	71758	17161
807	71869	17077
808	71956	16988
809	72057	16902
810	72140	16812
811	72224	16722
812	72312	16632
813	72413	16546
814	72505	16458
815	72598	16370
816	72686	16281
817	72770	16190
818	72855	16101
819	72960	16015
820	73059	15928
821	73143	15838
822	73234	15750
823	73329	15662
824	73421	15574
825	73508	15484
826	73595	15395
827	73686	15306
828	73781	15219
829	73862	15128
830	73953	15039
831	74041	14950
832	74128	14861
833	74213	14771
834	74337	14689
835	74429	14601
836	74512	14510
837	74596	14420
838	74683	14331
839	74778	14243
840	74868	14154
841	74958	14065
842	75040	13975
843	75126	13886
844	75211	13796
845	75301	13707
846	75400	13620
847	75488	13530
848	75582	13442
849	75674	13354
850	75768	13266
851	75855	13176
852	75936	13086
853	76026	12997
854	76106	12906
855	76195	12817
856	76299	12731
857	76397	12643
858	76490	12555
859	76587	12467
860	76684	12379
861	76780	12291
862	76872	12203
863	76963	12114
864	77053	12025
865	77142	11936
866	77232	11847
867	77323	11758
868	77430	11672
869	77526	11584
870	77622	11496
871	77709	11406
872	77821	11321
873	77910	11231
874	77997	11142
875	78077	11052
876	78159	10961
877	78243	10872
878	78332	10783
879	78419	10693
880	78508	10604
881	78615	10517
882	78713	10429
883	78800	10340
884	78893	10251
885	78982	10162
886	79074	10073
887	79159	9984
888	79258	9896
889	79342	9806
890	79442	9718
891	79526	9628
892	79613	9539
893	79708	9450
894	79795	9361
895	79878	9271
896	79981	9184
897	80078	9095
898	80192	9009
899	80289	8921
900	80382	8832
901	80471	8742
902	80564	8654
903	80654	8565
904	80745	8476
905	80829	8386
906	80912	8296
907	80998	8206
908	81080	8117
909	81166	8027
910	81252	7937
911	81342	7848
912	81437	7760
913	81526	7670
914	81620	7582
915	81711	7493
916	81809	7404
917	81915	7317
918	82003	7227
919	82093	7138
920	82177	7048
921	82262	6959
922	82344	6869
923	82432	6780
924	82528	6691
925	82620	6602
926	82707	6513
927	82809	6424
928	82912	6336
929	83003	6247
930	83094	6158
931	83179	6068
932	83268	5979
933	83352	5889
934	83446	5801
935	83544	5712
936	83633	5623
937	83720	5533
938	83819	5445
939	83909	5355
940	83999	5266
941	84088	5177
942	84169	5087
943	84264	4998
944	84359	4909
